ID,ind
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
